Data Set 1:Time(s),Data Set 1:X-axis acceleration(m/s²),Data Set 1:Heart Rate(bpm),Data Set 1:Z-axis acceleration(m/s²),Data Set 1:Y-axis acceleration(m/s²),Data Set 1:X-angular velocity(rad/s),Data Set 1:Z-angular velocity(rad/s),Data Set 1:Y-angular velocity(rad/s)
0,9.260772705078130,69,0.97444039583206200,3.0925424098968500,-0.0026818467304110500,0.014090339653194000,0.0057468153536319700
0.02,9.2128887176513700,,0.97444039583206200,3.0350816249847400,-0.0016176216304302200,0.017283014953136400,0.011067940853536100
0.040000000000000000,9.2320423126220700,,1.0127477645874000,3.0255048274993900,0.0068961791694164300,0.014090339653194000,0.016389066353440300
0.060000000000000000,9.2368307113647500,,0.95049840211868300,3.0638120174408000,0.0037035038694739300,0.014090339653194000,0.018517518416047100
0.080000000000000000,9.2559843063354500,,0.83557671308517500,2.9776206016540500,0.0079604042693972600,0.021539915353059800,0.022774418815970400
0.100000000000000000,9.303868293762210,,1.0079593658447300,3.039870023727420,0.0079604042693972600,0.016218788921833000,0.023838642984628700
0.12,9.1793699264526400,,0.96965199708938600,3.0255048274993900,-0.00055339653044939000,0.010897665284574000,0.028095543384552000
0.14000000000000000,9.303868293762210,,0.84994196891784700,3.0638120174408000,-0.012259872630238500,0.020475689321756400,0.029159767553210300
0.16,9.3134450912475600,,0.88824915885925300,3.0494468212127700,-0.010131422430276900,0.01834724098443990,0.033416666090488400
0.18000000000000000,9.2224655151367200,,1.0462665557861300,3.1260612010955800,-0.0069387471303343800,0.02366836741566660,0.02596709318459030
0.20000000000000000,9.2320423126220700,,0.97444039583206200,3.015927791595460,0.0068961791694164300,0.019411467015743300,0.020645966753363600
0.22,9.2559843063354500,,1.0749969482421900,2.9967741966247600,0.019666880369186400,0.017283014953136400,0.031288217753171900
0.24000000000000000,9.2368307113647500,,1.0175361633300800,3.0781772136688200,0.002639278769493100,0.013026113621890500,0.021710192784667000
0.26000000000000000,9.1650047302246100,,1.0702085494995100,3.082965612411500,-0.022902123630046800,0.0098334392532706300,0.0057468153536319700
0.28000000000000000,9.2224655151367200,,0.9409216046333310,2.9967741966247600,-0.032480150461196900,0.013026113621890500,0.0046825902536511400
0.30000000000000000,9.2799263000488300,,0.90261435508728000,3.015927791595460,-0.019709449261426900,0.019411467015743300,0.00042569005745463100
0.32000000000000000,9.2847146987915000,,1.0031709671020500,2.9680438041687000,-0.009067196398973470,0.002383863553404810,0.014260616153478600
0.34000000000000000,9.3230218887329100,,0.87867236137390100,2.9393134117126500,-0.0037460718303918800,0.0055765388533473000,0.015324841253459500
0.36000000000000000,9.1841583251953100,,0.95528680086135900,3.0302932262420700,-0.004810296930372720,0.013026113621890500,0.0068110404536128000
0.38,9.2511959075927700,,1.0175361633300800,3.0733888149261500,0.0015750536695122700,0.011961889453232300,0.010003715753555300
0.40000000000000000,9.2320423126220700,,1.0702085494995100,2.9345250129699700,-0.010131422430276900,0.015154565684497400,0.0089394906535744700
0.42000000000000000,9.2272539138793900,,1.0749969482421900,3.0111393928527800,-0.011195648461580300,0.011961889453232300,0.0068110404536128000
0.44,9.303868293762210,,0.92176800966262800,2.9201598167419400,-0.01864522323012350,0.013026113621890500,0.013196391053497800
0.46000000000000000,9.303868293762210,,0.9409216046333310,3.0015625953674300,-0.0016176216304302200,0.016218788921833000,0.0057468153536319700
0.48000000000000000,9.2847146987915000,,0.88824915885925300,2.9393134117126500,0.015409979969263100,0.02366836741566660,0.010003715753555300
0.5,9.2416191101074200,,0.95528680086135900,3.0302932262420700,0.018602654337883000,0.017283014953136400,0.011067940853536100
0.52000000000000000,9.3325986862182600,,1.0749969482421900,3.0255048274993900,0.02285955473780630,0.017283014953136400,0.0046825902536511400
0.54000000000000000,9.1985235214233400,,1.1037273406982400,3.0781772136688200,0.017538430169224700,0.014090339653194000,0.015324841253459500
0.56000000000000000,9.2320423126220700,,1.0606317520141600,3.0925424098968500,-0.010131422430276900,0.010897665284574000,0.020645966753363600
0.58000000000000000,9.2895030975341800,,0.98880559206008900,3.1021192073822000,-0.030351698398590100,0.019411467015743300,0.020645966753363600
0.60000000000000000,9.3278102874755900,,1.0845737457275400,3.0350816249847400,-0.039929725229740100,0.017283014953136400,0.020645966753363600
0.62,9.3086566925048800,,1.0223245620727500,3.0542352199554400,-0.027159024029970200,0.020475689321756400,0.023838642984628700
0.64000000000000000,9.2559843063354500,,1.0319013595581100,2.8770642280578600,-0.02396634966135030,0.013026113621890500,0.022774418815970400
0.66000000000000000,9.2033119201660200,,1.1228809356689500,2.819603443145750,-0.0069387471303343800,0.0066407639533281300,0.029159767553210300
0.68000000000000000,9.2224655151367200,,1.0175361633300800,2.9010062217712400,-0.0037460718303918800,0.013026113621890500,0.032352440059185000
0.70000000000000000,9.2703495025634800,,1.1372462511062600,2.948890209198000,-0.010131422430276900,0.011961889453232300,0.027031319215893700
0.72000000000000000,9.1841583251953100,,1.0271129608154300,2.8435454368591300,-0.0080029722303152100,0.015154565684497400,0.023838642984628700
0.74000000000000000,9.1985235214233400,,1.108515739440920,2.8387570381164600,-0.010131422430276900,0.0077049890533089600,0.028095543384552000
0.76000000000000000,9.2416191101074200,,1.2090722322464000,2.862699031829830,0.0047677289694547700,0.014090339653194000,0.030223993584513700
0.78000000000000000,9.2559843063354500,,1.0941505432128900,2.9153714179992700,0.023923780769109700,0.013026113621890500,0.029159767553210300
0.80000000000000000,9.2895030975341800,,1.108515739440920,2.9345250129699700,0.030309131368994700,0.0087692132219672200,0.031288217753171900
