Data Set 1:Time(s),Data Set 1:X-axis acceleration(m/s²),Data Set 1:Heart Rate(bpm),Data Set 1:Y-axis acceleration(m/s²),Data Set 1:Z-axis acceleration(m/s²),Data Set 1:X-angular velocity(rad/s),Data Set 1:Y-angular velocity(rad/s),Data Set 1:Z-angular velocity(rad/s),Data Set 2:Time(s),Data Set 2:X-axis acceleration(m/s²),Data Set 2:Heart Rate(bpm),Data Set 2:Y-axis acceleration(m/s²),Data Set 2:Z-axis acceleration(m/s²),Data Set 2:X-angular velocity(rad/s),Data Set 2:Y-angular velocity(rad/s),Data Set 2:Z-angular velocity(rad/s)
0,9.6246910095214844,86,-0.16836026310920715,0.35194802284240723,0.1399243175983429,-0.017666136845946312,-0.060405418276786804,0,9.7396125793457031,89,0.51638138294219971,0.58657974004745483,-0.68059319257736206,-0.28052973747253418,0.30568802356719971
0.02,9.6869401931762695,,-0.053438588976860046,0.34237119555473328,0.04201560840010643,-0.0080881109461188316,-0.018900638446211815,0.02,9.7396125793457031,,0.50680458545684814,0.48123493790626526,-0.70294195413589478,-0.35396125912666321,0.2865319550037384
0.040000000000000001,9.8114385604858398,,-0.067803800106048584,0.25139155983924866,-0.011195648461580276,0.0046825902536511421,0.030053716152906418,0.040000000000000001,9.5480766296386719,,0.66482198238372803,0.50996530055999756,-0.79659372568130493,-0.41568630933761597,0.2343849390745163
0.059999999999999998,9.6582098007202148,,-0.14441825449466705,0.21787269413471222,-0.034608598798513412,0.023838642984628677,0.054530896246433258,0.059999999999999998,9.7300357818603516,,0.49722781777381897,0.51475369930267334,-0.83171319961547852,-0.45399841666221619,0.2184215635061264
0.080000000000000002,9.6582098007202148,,0.023175865411758423,0.088585808873176575,-0.091012522578239441,0.024902867153286934,0.084329195320606232,0.080000000000000002,9.830592155456543,,0.10457873344421387,0.44292768836021423,-0.77743768692016602,-0.41249364614486694,0.18436636030673981
0.099999999999999992,9.3756942749023438,,0.17640477418899536,0.20350749790668488,-0.2400040477514267,0.038737792521715164,0.12689819931983948,0.099999999999999992,9.8832645416259766,,-0.110899418592453,0.56263774633407593,-0.64547377824783325,-0.36247506737709045,0.15456804633140564
0.12,9.3325986862182617,,0.19077000021934509,0.24181471765041351,-0.43901413679122925,0.053636945784091949,0.15988917648792267,0.12,9.9311485290527344,,-0.3886268138885498,0.69192463159561157,-0.37835332751274109,-0.2996857762336731,0.11625595390796661
0.13999999999999999,9.2703495025634766,,-0.26412832736968994,0.23702631890773773,-0.61673969030380249,0.036609344184398651,0.18117368221282959,0.13999999999999999,10.04607105255127,,-0.35989639163017273,0.78769272565841675,-0.094205200672149658,-0.26137366890907288,0.073686942458152771
0.16,9.5528650283813477,,-0.7094498872756958,0.32321760058403015,-0.63483154773712158,0.016389066353440285,0.19500860571861267,0.16,10.443508148193359,,-0.29285874962806702,0.83078831434249878,0.17185106873512268,-0.21667622029781342,0.040695969015359879
0.17999999999999999,9.610325813293457,,-1.0877337455749512,0.30406397581100464,-0.51989525556564331,-0.021923037245869637,0.18010945618152618,0.17999999999999999,10.577583312988281,,-0.3407427966594696,0.76853907108306885,0.40917325019836426,-0.10918949544429779,0.010897665284574032
0.19999999999999998,9.8497457504272461,,-1.0733685493469238,0.26096835732460022,-0.38580289483070374,-0.059170916676521301,0.15456804633140564,0.19999999999999998,10.553641319274902,,-0.096534222364425659,0.58179134130477905,0.59647691249847412,-0.012345011346042156,-0.025285989046096802
0.22,10.036494255065918,,-0.84352517127990723,0.39504364132881165,-0.28363728523254395,-0.080455414950847626,0.13754045963287354,0.22,10.443508148193359,,0.28653803467750549,0.54827255010604858,0.73695462942123413,0.074921444058418274,-0.059341192245483398
0.23999999999999999,9.9886102676391602,,-0.74775707721710205,0.41898566484451294,-0.25490319728851318,-0.081519640982151031,0.12476974725723267,0.23999999999999999,10.309432983398438,,0.41582491993904114,0.56263774633407593,0.79016584157943726,0.16963748633861542,-0.092332169413566589
0.26000000000000001,9.8784761428833008,,-0.81958317756652832,0.37110161781311035,-0.25277474522590637,-0.085776545107364655,0.097099900245666504,0.26000000000000001,10.117897033691406,,0.27696123719215393,0.56263774633407593,0.85614782571792603,0.28670224547386169,-0.081689916551113129
0.27999999999999997,9.8401689529418945,,-1.0206960439682007,0.55784934759140015,-0.21871954202651978,-0.081519640982151031,0.061980471014976501,0.27999999999999997,9.5959606170654297,,0.38709452748298645,0.39504364132881165,0.97640526294708252,0.33778506517410278,-0.084882594645023346
0.29999999999999999,9.7300357818603516,,-0.95844686031341553,0.55784934759140015,-0.13145308196544647,-0.091097667813301086,0.013026113621890545,0.29999999999999999,9.303868293762207,,0.85156965255737305,0.22744952142238617,1.0328091382980347,0.28776648640632629,-0.12106624990701675
0.32000000000000001,9.7491893768310547,,-0.88183236122131348,0.43813928961753845,-0.014388322830200195,-0.095354571938514709,-0.029542889446020126,0.32000000000000001,9.5001926422119141,,1.3304100036621094,0.12210464477539062,0.82847797870635986,0.22072029113769531,-0.11787357181310654
0.33999999999999997,9.8449573516845703,,-0.66635417938232422,0.4764464795589447,0.023923780769109726,-0.095354571938514709,-0.032735563814640045,0.33999999999999997,9.677363395690918,,1.6272910833358765,0.083797410130500793,0.2963654100894928,0.2175276130437851,-0.048698939383029938
0.35999999999999999,10.084378242492676,,-0.75254547595977783,0.39025524258613586,0.028180681169033051,-0.075134292244911194,-0.024221763014793396,0.35999999999999999,9.7731313705444336,,1.459696888923645,0.026336576789617538,-0.19637081027030945,0.26435351371765137,0.041760191321372986
0.38,10.022129058837891,,-0.49397170543670654,0.25617995858192444,-0.025030571967363358,-0.028308385983109474,-0.012515287846326828,0.38,9.6582098007202148,,0.87072324752807617,0.035913381725549698,-0.45391330122947693,0.29521605372428894,0.10454947501420975
0.39999999999999997,10.026917457580566,,-0.25455152988433838,0.22266112267971039,-0.098462104797363281,-0.0038312103133648634,0.038567516952753067,0.39999999999999997,9.3278102874755859,,0.40145972371101379,0.18914228677749634,-0.5358586311340332,0.26435351371765137,0.13541200757026672
0.41999999999999998,9.969456672668457,,-0.32158917188644409,0.30885237455368042,-0.1878570169210434,0.01213216595351696,0.035374842584133148,0.41999999999999998,9.3900594711303711,,0.17161637544631958,0.24181471765041351,-0.41134428977966309,0.17283016443252563,0.10880637168884277
