Time,hr,Xacc,Zacc,Yacc,Xg,Zg,Yg
1.26,,2.135627985,-8.782698631,3.138798714,-0.160187155,-0.012515288,0.038737793
1.28,,2.284068584,-9.141828537,3.205836296,-0.23149024,0.01409034,0.067471869
1.3,,2.274491787,-9.43392086,2.928108931,-0.230426013,0.01409034,0.081306793
1.32,,2.245761395,-9.75474453,2.865859747,-0.135709986,0.030053716,0.067471869
1.34,,2.049436808,-9.63982296,2.731784344,-0.097397879,0.007704989,0.062150747
1.36,,2.044648409,-9.711648941,2.990358114,-0.020773673,-0.006129937,0.042994693
1.38,,1.963245273,-9.405190468,2.846706152,-0.02396635,-0.027414437,0.027031319
1.4,,1.996764302,-9.323787689,2.803610563,-0.009067196,-0.028478663,0.027031319
1.42,,2.15478158,-9.299845695,2.832340956,-0.009067196,-0.027414437,0.010003716
1.44,,2.126051188,-9.43392086,2.875436544,-0.021837898,-0.022093315,0.00681104
1.46,,2.178723574,-9.323787689,2.760514736,-0.009067196,-0.009322613,0.015324841
1.48,,2.130839586,-9.290268898,2.889801741,-0.003746072,0.008769213,0.015324841
1.5,,2.202665567,-9.371671677,2.894590139,0.002639279,0.011961889,-0.005959661
1.52,,2.015918016,-9.467439651,2.851494551,0.006896179,0.003448089,-0.002766985
1.54,,2.097320795,-9.390825272,2.932897329,-0.001617622,-0.005065712,-0.028308386
1.56,,2.15478158,-9.381248474,2.741361141,0.002639279,-0.004001487,-0.017666137
1.58,,2.250549793,-9.256750107,2.928108931,-0.000553397,-0.006129937,-0.013409236
1.6,,2.264914989,-9.117886543,2.885013342,-0.010131422,0.009833439,-0.000638535
1.62,,2.217030764,-9.295057297,2.908955336,-0.037801277,0.019411467,0.007875266
1.64,,2.11647439,-9.419555664,2.928108931,-0.062278453,0.008769213,0.00255414
1.66,,2.169146776,-9.438709259,2.827552557,-0.034608599,0.005576539,-0.005959661
1.68,,2.236184597,-9.347729683,2.832340956,0.001575054,0.006640764,-0.005959661
1.7,,2.183511972,-9.280692101,2.851494551,0.01966688,0.021539915,-0.004895436
1.72,,2.073378801,-9.256750107,2.813187361,0.01115308,0.02473259,0.012132166
1.74,,2.073378801,-9.405190468,2.861071348,-0.009067196,0.027925268,0.003618365
1.76,,2.020706415,-9.376460075,3.062184334,-0.006938747,0.019411467,0.005746815
1.78,,2.049436808,-9.347729683,2.952050924,-0.029287476,0.019411467,-0.000638535
1.8,,2.111685991,-9.443497658,2.837129354,-0.0473793,0.017283015,0.011067941
1.82,,2.059013605,-9.486593246,2.851494551,-0.045250852,0.009833439,0.013196391
1.84,,2.068590403,-9.443497658,2.760514736,-0.015452549,0.006640764,0.007875266
1.86,,2.121262789,-9.453074455,2.789245367,0.016474206,0.005576539,0.00255414
1.88,,2.149993181,-9.280692101,3.03824234,0.026052231,0.010897665,0.003618365
1.9,,2.164358377,-9.295057297,2.952050924,0.01115308,0.005576539,0.014260616
1.92,,2.03986001,-9.266326904,2.932897329,-0.048443526,0.007704989,0.00468259
1.94,,2.159569979,-9.43392086,2.856282949,-0.053764652,0.010897665,-0.016601911
1.96,,2.169146776,-9.429132462,2.822764158,-0.020773673,0.003448089,-0.011280786
